Almacén,Descripción del almacén,Clave de artículo,Estatus,Descripción del producto
3,MATERIA PRIMA,DES-003,Activo,DESLIZADORES NEGROS NO. 5
3,MATERIA PRIMA,DES-004,Activo,DESLIZADORES NIQUELADOS NO.5
3,MATERIA PRIMA,DES-019,Activo,DESLIZADORES ORO No. 5
3,MATERIA PRIMA,DES-025,Activo,DESLIZADORES OXFORD 36 No.5
3,MATERIA PRIMA,DES-020,Activo,DESLIZADORES PLATA
3,MATERIA PRIMA,DES-021,Activo,DESLIZADORES ROJO No. 5
3,MATERIA PRIMA,DES-002-RMP,Activo,DESLIZADORES ROJOS
3,MATERIA PRIMA,DES-010,Activo,DESLIZADORES ROSA PASTEL No 5
3,MATERIA PRIMA,DES-022,Activo,DESLIZADORES VERDE BANDERA No. 5
3,MATERIA PRIMA,DES-007,Activo,DESLIZADORES VERDE LIMON No. 5
3,MATERIA PRIMA,DES-011,Activo,DESLIZADORES VERDE MANZANA No 5
3,MATERIA PRIMA,53131608,Activo,DETERGENTE ROMA DE 5 KG
3,MATERIA PRIMA,MP7-IS,Activo,DILUYENTE ISOFORONA
3,MATERIA PRIMA,MP7-SP,Activo,DILUYENTE SP-400
3,MATERIA PRIMA,MPV-TS-0000172,Activo,DILUYENTE SP-500
3,MATERIA PRIMA,MP9-DCF,Activo,DIUREX CORTE FÁCIL DE 24MMx65M
3,MATERIA PRIMA,CI-AR-DI-01,Activo,DIUREX CORTE FACIL JANEL DE 18x50
3,MATERIA PRIMA,IM-CI-DC-01,Activo,DOBLE CAPA 12x50 POLIPROPILENO DEVEK
3,MATERIA PRIMA,11162100,Activo,ELASTICO COLETERO BLANCO
3,MATERIA PRIMA,MP5-121,Activo,ELASTICO TUBULAR
3,MATERIA PRIMA,MP1-1116211-D,Activo,EMPACK FLEXIBLE NATURAL C-4
3,MATERIA PRIMA,EMPA-ANTI,Activo,EMPAQUE ANTIBLOCK 4
3,MATERIA PRIMA,MP1-0000021-S,Activo,EMPAQUE ANTIBLOCK C 3.5
3,MATERIA PRIMA,EMP-C3.5-1.41,Activo,EMPAQUE ANTIBLOCK C3.5 1.41 PLATEADO
3,MATERIA PRIMA,EMP-003,Activo,EMPAQUE ANTIBLOCK CHAROL C 2.5
3,MATERIA PRIMA,EMP-002,Activo,EMPAQUE ANTIBLOCK CHAROL PLATEADO 3/3.5
3,MATERIA PRIMA,EMP-001,Activo,EMPAQUE ANTIBLOCK CHAROL PLATEADO C 4
3,MATERIA PRIMA,MP1-0000016-S,Activo,EMPAQUE ANTIBLOCK PLATA C-2.5
3,MATERIA PRIMA,MP1-0000017-S,Activo,EMPAQUE ANTIBLOCK PLATA C-3
3,MATERIA PRIMA,MP1-0000020-S,Activo,EMPAQUE ANTIBLOCK PLATA C-3.5
3,MATERIA PRIMA,MP1-0000018-S,Activo,EMPAQUE ANTIBLOCK PLATA C-4
3,MATERIA PRIMA,MP1-0000019-S,Activo,EMPAQUE ANTIBLOCK PLATA C-6
3,MATERIA PRIMA,3-EM-CIM,Activo,EMPAQUE DE VINIL CON IMPRESIÓN
3,MATERIA PRIMA,3-EM-CI,Activo,EMPAQUE DE VINIL CON IMPRESIÓN
3,MATERIA PRIMA,DCO-EMPVINIL4,Activo,EMPAQUE DE VINIL CRISTAL
3,MATERIA PRIMA,EMPSI,Activo,EMPAQUE DE VINIL SIN IMPRESION
3,MATERIA PRIMA,3-EM-SINAD,Activo,EMPAQUE DE VINIL SIN IMPRESION
3,MATERIA PRIMA,E-EM-SIM,Activo,EMPAQUE DE VINIL SIN IMPRESIÓN
3,MATERIA PRIMA,3-EM-VSI,Activo,EMPAQUE DE VINIL SIN IMPRESIÓN
3,MATERIA PRIMA,VIQG-EM-CI 68,Activo,EMPAQUE DE VINIL STD 68x48
3,MATERIA PRIMA,LMFCSIL17-DEV,Activo,EMPAQUE EDREDON VERANO LIVERPOOL BIEGE
3,MATERIA PRIMA,ENBO000480,Activo,EMPAQUE VINIL ENBO000480 72X52
3,MATERIA PRIMA,ENBO000481,Activo,EMPAQUE VINIL ENBO000481 92x52
3,MATERIA PRIMA,SO-DG-CP-PZ,Activo,EMULSION CHROMALINE CP-2 SIN SENSIBILIZA
3,MATERIA PRIMA,MP7-EM,Activo,EMULSIÓN CP-2 DIAZO Y FRASCO SATINIZADOR
3,MATERIA PRIMA,MP6-EN,Activo,ENVASE / GARRAFÓN
3,MATERIA PRIMA,CO-CD-EN-01,Activo,ENVASE PARA GALON
3,MATERIA PRIMA,ENVASES,Activo,ENVASES 1KG GARRAFA
3,MATERIA PRIMA,MP6-ES,Activo,ESPONJA ROJA V. CON CARGA DESILICON 10MM
3,MATERIA PRIMA,MP6-ESP,Activo,ESPUMA DE POLIURETANO 3MM*50MT
3,MATERIA PRIMA,MP6-ESD,Activo,ESPUMA DIAMANTADA 3MM
3,MATERIA PRIMA,MP6-EPU,Activo,ESPUMIN BLANCO 2MM
3,MATERIA PRIMA,MP6-ESG,Activo,ESPUMIN GALLETA 2 MM
3,MATERIA PRIMA,MP6-EST,Activo,ESTIRENO BLANCO C-15 122x152CM
3,MATERIA PRIMA,MA-ES-BL-01-PZ,Activo,ESTOPA BLANCA SUPER EXTRA
3,MATERIA PRIMA,CU-TF-REP-04-PZ,Activo,ESTUCHE 50 CUCHILLAS SK4 18 MM P CUTTER
3,MATERIA PRIMA,CU-TF-REP-05-PZ,Activo,ESTUCHE CON 10 CUCHILLAS SK2 de 18 mm
3,MATERIA PRIMA,ET-HU-ET-01,Activo,ETIQUETA DE CARTULINA CON RONDANA
3,MATERIA PRIMA,MP1-0000021-EXP,Activo,EVA
3,MATERIA PRIMA,MP3.-0734004-P,Activo,FILM C-5/6 BLANCO
3,MATERIA PRIMA,MP3.-0923508-P,Activo,FILM C-5/6 TRANSPARENTE
3,MATERIA PRIMA,MP9-FJ,Activo,"FLEJE NATURAL DE 1/2"" SEMIAUTO"
3,MATERIA PRIMA,FLEJE,Activo,"FLEJE NATURAL PARA MAQUINA DEL 1/2"" CAL"
3,MATERIA PRIMA,MP4-8107-S,Activo,FLEXIVIN INFLABLE C-8 NARANJA FLUORESCEN
3,MATERIA PRIMA,MP4-8052-S,Activo,FLEXIVIN INFLABLE CHAROL C-8 AMARILLO
3,MATERIA PRIMA,MP4-8050-S,Activo,FLEXIVIN INFLABLE CHAROL C-8 AZUL
3,MATERIA PRIMA,MP4-8054-S,Activo,FLEXIVIN INFLABLE CHAROL C-8 ROJO
3,MATERIA PRIMA,MP4-8051-S,Activo,FLEXIVIN INFLABLE CHAROL C-8 TRANSPARENT
3,MATERIA PRIMA,MP4-8053-S,Activo,FLEXIVIN INFLABLE CHAROL C-8 VERDE
3,MATERIA PRIMA,FL-SI-MA-01,Activo,FLEXIVIN INFLABLE MATE C 7 1.41 Negro
3,MATERIA PRIMA,SI-FI-MA-01,Activo,FLEXIVIN INFLABLE MATE C 7 NEGRO
3,MATERIA PRIMA,MP4-8108-S,Activo,FLEXIVIN INFLABLE MATE C-7 AZUL REY
3,MATERIA PRIMA,MP4-8103-S,Activo,FLEXIVIN INFLABLE MATE C-8 AMARILO
3,MATERIA PRIMA,MP4-8104-S,Activo,FLEXIVIN INFLABLE MATE C-8 AZUL
3,MATERIA PRIMA,MP4-8101-S,Activo,FLEXIVIN INFLABLE MATE C-8 AZUL REY
3,MATERIA PRIMA,MP4-8106-S,Activo,FLEXIVIN INFLABLE MATE C-8 BLANCO
3,MATERIA PRIMA,MP4-8102-S,Activo,FLEXIVIN INFLABLE MATE C-8 NEGRO
3,MATERIA PRIMA,MP4-8100-S,Activo,FLEXIVIN INFLABLE MATE C-8 ROJO
3,MATERIA PRIMA,MP4-8105-S,Activo,FLEXIVIN INFLABLE MATE C-8 VERDE
3,MATERIA PRIMA,SINT-FLEXI - C10,Activo,FLEXIVIN MATE NEGRO CALIBRE 10
3,MATERIA PRIMA,MP4-8004-S,Activo,FLEXIVIN SEDA C-10  AZUL REY
3,MATERIA PRIMA,MP4-8005-S,Activo,FLEXIVIN SEDA C-10 AMARILLO
3,MATERIA PRIMA,MP4-8008-S,Activo,FLEXIVIN SEDA C-10 AZUL CIELO
3,MATERIA PRIMA,MP4-8000-S,Activo,FLEXIVIN SEDA C-10 AZUL MARINO
3,MATERIA PRIMA,MP4-8001-S,Activo,FLEXIVIN SEDA C-10 BLANCO
3,MATERIA PRIMA,MP4-8010-S,Activo,FLEXIVIN SEDA C-10 CAFÉ
3,MATERIA PRIMA,MP4-8003-S,Activo,FLEXIVIN SEDA C-10 GRIS
3,MATERIA PRIMA,MP4-8002-S,Activo,FLEXIVIN SEDA C-10 HUESO
3,MATERIA PRIMA,MP4-8007-S,Activo,FLEXIVIN SEDA C-10 NEGRO
3,MATERIA PRIMA,MP4-8006-S,Activo,FLEXIVIN SEDA C-10 ROJO
3,MATERIA PRIMA,MP4-8011-S,Activo,FLEXIVIN SEDA C-10 ROSA
3,MATERIA PRIMA,MP4-8009-S,Activo,FLEXIVIN SEDA C-10 VERDE
3,MATERIA PRIMA,MANT-PL-49,Activo,FLEXOMETRO 3 M CINTA 13 MM
3,MATERIA PRIMA,MP6-FO,Activo,FOAMI 2MM MEDIDA DE 150x70CM
3,MATERIA PRIMA,FO-NI-01-PZ,Activo,FOMI LAM 3 LISO COLOR CLARO
3,MATERIA PRIMA,MP4-9003-S,Activo,FORRO ALASKA BLANCO CON SOPORTE
3,MATERIA PRIMA,TE-IM-FC-05,Activo,FORRO CARTERA 110 GRS BLANCO
3,MATERIA PRIMA,TE-IM-FC-15,Activo,FORRO CARTERA 70 GR GRIS MEDIO
3,MATERIA PRIMA,TE-IM-FC-01,Activo,FORRO CARTERA 70 GRS 160 CM VARIOS COLOR
3,MATERIA PRIMA,TE-IM-FC-04,Activo,FORRO CARTERA 70G 160CM AZUL
3,MATERIA PRIMA,TE-IM-FC-09,Activo,FORRO CARTERA 70G 160CM AZUL CIELO
3,MATERIA PRIMA,TE-IM-FC-11,Activo,FORRO CARTERA 70G 160CM AZUL MARINO
3,MATERIA PRIMA,TE-IM-FC-08,Activo,FORRO CARTERA 70G 160CM FUCSIA
3,MATERIA PRIMA,TE-IM-FC-14,Activo,FORRO CARTERA 70G 160CM MANDARINA
3,MATERIA PRIMA,TE-IM-FC-02,Activo,FORRO CARTERA 70G 160CM MORADO
3,MATERIA PRIMA,TE-IM-FC-12,Activo,FORRO CARTERA 70G 160CM ROJO
3,MATERIA PRIMA,TE-IM-FC-03,Activo,FORRO CARTERA 70G 160CM ROSA
3,MATERIA PRIMA,TE-IM-FC-07,Activo,FORRO CARTERA 70G 160CM ROSA PASTEL
3,MATERIA PRIMA,TE-IM-FC-13,Activo,FORRO CARTERA 70G 160CM VERDE BANDERA
3,MATERIA PRIMA,TE-IM-FC-10,Activo,FORRO CARTERA 70G 160CM VERDE MANZANA
3,MATERIA PRIMA,TE-IM-FC-06,Activo,FORRO CARTERA 70G AZUL PANAM
3,MATERIA PRIMA,TE-RO-FC-01,Activo,FORRO CARTERA 70GR AZUL REY
3,MATERIA PRIMA,FR-00101-RO,Activo,FORRO CARTERA BLANCO
3,MATERIA PRIMA,11151511,Activo,FORRO CARTERA COLORES
3,MATERIA PRIMA,FR-CA-N-001,Activo,FORRO CARTERA NEGRO
3,MATERIA PRIMA,FR-00100-R,Activo,FORRO CARTERA ROJO
3,MATERIA PRIMA,FUN-01,Activo,FUNDAFLEX  C. 6
3,MATERIA PRIMA,FU-001-PL,Activo,FUNDAFLEX PLASTIFICADO
3,MATERIA PRIMA,CO-CD-AC-01,Activo,GALON ACEITE MAQUINA DE COSER
3,MATERIA PRIMA,MP5-122,Activo,GANCHO BLANCO TIPO PATO
3,MATERIA PRIMA,MP5-124,Activo,GANCHO DE PLÁSTICO INYECTADO
3,MATERIA PRIMA,GA-PM-GA-01,Activo,GANCHO MUESTRARIO BASE #3 BLANCO c/5000
3,MATERIA PRIMA,GA-PM-GA-02,Activo,GANCHO MUESTRARIO CON BASE #3 BCO C/500
3,MATERIA PRIMA,MP5-140,Activo,GANCHO NEGRO TIPO PATO
3,MATERIA PRIMA,MP5-123,Activo,GANCHO ROSA TIPO PATO
3,MATERIA PRIMA,ENVASES1,Activo,GARRAFA DE 50 KGS
3,MATERIA PRIMA,ENVASES2,Activo,GARRAFON 5 KG
3,MATERIA PRIMA,AGUA 20 LT,Activo,GARRAFONES DE AGUA
3,MATERIA PRIMA,GEL-ANT-001,Activo,GEL ANTIBACTERIAL
3,MATERIA PRIMA,MP8-GCR-KG,Activo,GEL CRYSTAL
3,MATERIA PRIMA,MP8-GER-KG,Activo,GERMABEN II
3,MATERIA PRIMA,MP5-134,Activo,GI BLANCO R3290MM 8CM*45.72 MT
3,MATERIA PRIMA,MP8-GLI-KG,Activo,GLICERINA
3,MATERIA PRIMA,MP3.-1004102-P,Activo,GRANITO C-10 AMARILLO
3,MATERIA PRIMA,MP3.-1004101-P,Activo,GRANITO C-10 AZUL CIELO
3,MATERIA PRIMA,MP3.-1001403-P,Activo,GRANITO C-10 AZUL MARINO
3,MATERIA PRIMA,MP3.-1004104-P,Activo,GRANITO C-10 AZUL MONARCA
3,MATERIA PRIMA,MP3.-1004001-P,Activo,GRANITO C-10 AZUL OCEANO
3,MATERIA PRIMA,MP3.-1004100-P,Activo,GRANITO C-10 AZUL REY
3,MATERIA PRIMA,MP3.-1004111-P,Activo,GRANITO C-10 BEIGE ARENAL
3,MATERIA PRIMA,MP3.-1008002-P,Activo,GRANITO C-10 BLANCO
3,MATERIA PRIMA,MP3.-1004112-P,Activo,GRANITO C-10 CAFÉ MADERA
3,MATERIA PRIMA,MP3.-1004113-P,Activo,GRANITO C-10 GRIS
3,MATERIA PRIMA,MP3.-1004106-P,Activo,GRANITO C-10 NEGRO
3,MATERIA PRIMA,MP3.-1004107-P,Activo,GRANITO C-10 ROJO
3,MATERIA PRIMA,MP3.-1004103-P,Activo,GRANITO C-10 ROSA
3,MATERIA PRIMA,MP3.-1004108-P,Activo,GRANITO C-10 VERDE BANDERA
3,MATERIA PRIMA,MP3.-1004109-P,Activo,GRANITO C-10 VERDE FOLLAJE
3,MATERIA PRIMA,MP3.-1004110-P,Activo,GRANITO C-10 VERDE JARDIN
3,MATERIA PRIMA,MP3.-1077850-P,Activo,GRANITO C-10 VERDE OSCURO
3,MATERIA PRIMA,MP3.-0964504-P,Activo,GRANITO C-8 AZUL MARINO
3,MATERIA PRIMA,MP3.-0964505-P,Activo,GRANITO C-8 BLANCO
3,MATERIA PRIMA,MP3.-1311121-P,Activo,GRANITO C-8 MORADO 254C
3,MATERIA PRIMA,MP3.-0964503-P,Activo,GRANITO C-8 NEGRO
3,MATERIA PRIMA,MP3-131112-P,Activo,GRANITO C-8 ROJO
3,MATERIA PRIMA,MP3.-0964506-P,Activo,GRANITO C-8 VERDE
3,MATERIA PRIMA,MP3.-131112*-P,Activo,GRANITO C-9 AMARILLO 115C
3,MATERIA PRIMA,MP5-125,Activo,GRAPA DE SOBRE METÁLICO
3,MATERIA PRIMA,56111905,Activo,GRAPA PARA SOBRE CHICA
3,MATERIA PRIMA,46181541,Activo,GUANTE USO DOMESTICO
3,MATERIA PRIMA,PC-BR-BR-03,Activo,Hembra Broche Pañalero L16 (Jiber)
3,MATERIA PRIMA,HI-CD-KI-09,Activo,HILO AGUACATE 40/2 079 KINGTEX
3,MATERIA PRIMA,HI-CD-KI-06,Activo,HILO AZUL CAPRI 40/2 055 KINGTEX
3,MATERIA PRIMA,HI-CD-KI-10,Activo,HILO AZUL CIELO 40/2 289 KINGTEX
3,MATERIA PRIMA,KINTEX 40/2,Activo,HILO AZUL MARINO
3,MATERIA PRIMA,HI-CD-KI-04,Activo,HILO AZUL REY 40/2 241 KINGTEX
3,MATERIA PRIMA,HI-CD-KI-17,Activo,HILO BEIGE ARENA 40/2 167 KINGTEX
3,MATERIA PRIMA,KINTEX WHITE,Activo,HILO BLANCO KINGTEX
3,MATERIA PRIMA,HI-CD-KI-15,Activo,HILO CHABACANO 40/2 033 KINGTEX
3,MATERIA PRIMA,HI-CD-KI-07,Activo,HILO CLAVEL 40/2 003  KINGTEX
3,MATERIA PRIMA,HIL-001-RMT,Activo,HILO COLOR ROJO
3,MATERIA PRIMA,KINTEX-GR-MP,Activo,HILO GRIS 40/2 262
3,MATERIA PRIMA,HI-CD-KI-02,Activo,HILO GRIS PERLA 40/2 206 KINGTEX
3,MATERIA PRIMA,HI-CD-KI-18,Activo,HILO HUESO POLIESTER 40/2  097 KINGTEX
3,MATERIA PRIMA,HI-CD-KI-11,Activo,HILO MARFIL 40/2 164
3,MATERIA PRIMA,HI-CD-KI-12,Activo,HILO MORADO CLARO 40/2 018 KINGTEX
3,MATERIA PRIMA,HI-TR-KI-01,Activo,HILO MORADO KINGTEX
3,MATERIA PRIMA,KINTEX BLACK,Activo,HILO NEGRO
3,MATERIA PRIMA,HI-CD-KI-16,Activo,HILO ROJO 40/2 011 KINGTEX
3,MATERIA PRIMA,HI-CD-KI-08,Activo,HILO ROSA MEXICANO 40/2 220 KINGTEX
3,MATERIA PRIMA,HI-CD-KI-05,Activo,HILO ROSA PASTEL 40/2 002 KINGTEX
3,MATERIA PRIMA,HI-CD-KI-01,Activo,HILO TIFANY 40/2 284 KINGTEX
3,MATERIA PRIMA,HI-CD-KI-13,Activo,HILO TURQUESA 40/2 059 KINGTEX
3,MATERIA PRIMA,HIL-002-VMT,Activo,HILO VERDE
3,MATERIA PRIMA,HI-CD-KI-03,Activo,HILO VERDE 40/2 1459 KINGTEX
3,MATERIA PRIMA,HI-CD-KI-14,Activo,HILO VERDE BANDERA 40/2 081 KINGTEX
3,MATERIA PRIMA,MP7-HR3,Activo,HULE PARA RACERO 3*0.8 CM
3,MATERIA PRIMA,MP7-HR5,Activo,HULE PARA RACERO 5*0.9 CM
3,MATERIA PRIMA,TE-GA-PO-01,Activo,IMPA326 NEGRO POLIESTER PVC
3,MATERIA PRIMA,PR-AL-01-PZ,Activo,IMPRESION A 1X1 TINTA EN PAPEL BOND MEDI
3,MATERIA PRIMA,HU-IM-LU-01,Activo,IMPRESION DIGITAL EN TABLOIDE LULO
3,MATERIA PRIMA,47131501,Activo,JERGA SARGADA/FRANELA 1 MT X60 CM
3,MATERIA PRIMA,OJ-NE-TR-01,Activo,K-20 TROQUEL OJILLO
3,MATERIA PRIMA,CA-KI-NE-1-PZ,Activo,KINGTEX 40/2 BLACK
3,MATERIA PRIMA,PI-JC-PV-02,Activo,LACA TRUFILM BRILLANTE (420 ML)
3,MATERIA PRIMA,MP12-POLI-PZ,Activo,"LAMINAS DE PEAD NATURAL CALIBRE 0.030"""
3,MATERIA PRIMA,SE-GR-LIQ,Activo,LIQUIDO ESPECIAL PARA QUITAR PEGAMENTO
3,MATERIA PRIMA,PC-BR-BR-04,Activo,Macho Broche Pañalero L16 (Jiber)
3,MATERIA PRIMA,CO-FI-MA-002,Activo,MACRAME DE ALGODON GRIS
3,MATERIA PRIMA,CO-FI-MA-001,Activo,MACRAME DE ALGODON NEGRO
3,MATERIA PRIMA,60123701,Activo,MACRAME DE COLORES
3,MATERIA PRIMA,PIO-MT-001,Activo,MADEJA DE PIOLA
3,MATERIA PRIMA,IM-MA-MA-01,Activo,MALLA NYLON
3,MATERIA PRIMA,IM-MA-MA-02,Activo,MALLA PVC
3,MATERIA PRIMA,SE-SE-MA-02,Activo,MALLA T-120 x 1.60 DE ANCHO AMARILLA
3,MATERIA PRIMA,SE-SE-MA-04,Activo,MALLA T-62 X 1.58 DE ANCHO BCA
3,MATERIA PRIMA,SE-SE-MA-05,Activo,MALLA T-77 X 1.60 DE ANCHO BCA
3,MATERIA PRIMA,SE-SE-MA-01,Activo,MALLA T-90 x 1.6 DE ANCHO AMARILLA
3,MATERIA PRIMA,MA-IL-MA-01-PZ,Activo,"MANGUERA INDUSTRIAL 1/8 "" 100 MT"
3,MATERIA PRIMA,MP5-130,Activo,MANGUERA NATURAL CH. PX 3/8
3,MATERIA PRIMA,MP5-131,Activo,MANGUERA NATURAL GDE. PX 5/16
3,MATERIA PRIMA,MP5-129,Activo,MANGUERA PARA ASA DE BOLSA
3,MATERIA PRIMA,MAR-C-001,Activo,MARNA 3.5
3,MATERIA PRIMA,CI-JO-DA-MA-01,Activo,MASKING TAPE 12MMX50M
3,MATERIA PRIMA,MP9-MSK,Activo,MASKING TAPE 24MMx50MTS
3,MATERIA PRIMA,CI-AR-MA-02,Activo,MASKING TUK 18x50 111
3,MATERIA PRIMA,VI-ENV-01,Activo,MASTERPACK ESTIBABLE 20 LITROS
3,MATERIA PRIMA,PM-AR-AR-01,Activo,MEDIA ARGOLLA METALICA 19mm NIQUEL
3,MATERIA PRIMA,PM-AR-AR-02,Activo,MEDIA ARGOLLA METALICA 19mm NIQUEL CIENT
3,MATERIA PRIMA,MP4-11001-S,Activo,MICA SOFT C-35 AZUL
3,MATERIA PRIMA,MP4-11000-S,Activo,MICA SOFT C-35 ROJO
3,MATERIA PRIMA,MP8-TP30-PZ,Activo,MINITAPA CUADRADA 15/415 NATURAL
3,MATERIA PRIMA,OCE-CR-3,Activo,Ocean cristal calibre 3
3,MATERIA PRIMA,OCE-CR-4,Activo,Ocean cristal calibre 4
3,MATERIA PRIMA,OCE-CR-6,Activo,Ocean cristal calibre 6
3,MATERIA PRIMA,MP5-100,Activo,"OJALETE PLÁSTICO 6MM (OJILLO 1/4"")"
3,MATERIA PRIMA,53141508,Activo,OJILLO K 145 NIKELADO
3,MATERIA PRIMA,MP5-126,Activo,OJILLO K-19 ACERO NIQUEL
3,MATERIA PRIMA,OJ-NE-NI-01,Activo,OJILLO K-20 RIO FRIO NIQ C/1000 PZ NE
3,MATERIA PRIMA,OJ-PM-NI-01,Activo,OJILLO METALICO MILANO 11-Z
3,MATERIA PRIMA,SIN-SE-AN-CH-01-,Activo,P Semirigido Antiblock Charol C 7/8 1.41
3,MATERIA PRIMA,MP4-9001-S,Activo,PAD SEDA C-40  TRANSPARENTE
3,MATERIA PRIMA,MP1-0000022-S,Activo,PALSTILUX CRISTAL VIOLETA/PLATA C-10
3,MATERIA PRIMA,PA-PA-CA--PZ,Activo,PAPEL CAPLE REVERSO CAFE 60 x 90 CMS
3,MATERIA PRIMA,PA-GE-EN-01,Activo,PAPEL CL-02 de 100gr de 70cm x 200 mts
3,MATERIA PRIMA,MP6-PC,Activo,PAPEL COUCHE C/ADHESIVO 51x66
3,MATERIA PRIMA,JO-PA-KR-01,Activo,PAPEL KRAFT
3,MATERIA PRIMA,60121124,Activo,PAPEL KRFT 60 GRMS X 45 CM
3,MATERIA PRIMA,MP8-PAR-KG,Activo,PARAGON II
3,MATERIA PRIMA,32131003,Activo,PASTILLA QUIMITEC 80 GR
3,MATERIA PRIMA,GR-PEL-POL-01-PZ,Activo,PELICULA ELASTICA PARA ENVOLTURA
3,MATERIA PRIMA,PO-RP-PE-01,Activo,PELICULA PLANA DE POLIETILENO NATURAL
3,MATERIA PRIMA,MP9-PL,Activo,Película plástica POLYSTRECH
3,MATERIA PRIMA,PE-PA-MA-01,Activo,PELICULA POLIESTER MYLAR .005 KILO
3,MATERIA PRIMA,MP8-PER-KG,Activo,PERLAS DE HIDROGEL
3,MATERIA PRIMA,TR-PT-MI-01-PZ,Activo,PERNO RANURADO 5/32 X 1 1/2
3,MATERIA PRIMA,PET-G-01,Activo,PET G
3,MATERIA PRIMA,CA-MF-01,Activo,PIAS CON MONOFILAMENTO No. 008
3,MATERIA PRIMA,CO-CD-PI-01-PZ,Activo,PIE DE TEFLON C/CANAL IZQ 1/8
3,MATERIA PRIMA,CO-CD-PI-02-PZ,Activo,PIE DE TEFLON C/CANAL IZQ.3/16
3,MATERIA PRIMA,CO-CD-PI-PZ,Activo,PIE NORMAL CERRADO DE TEFLON
3,MATERIA PRIMA,14111703,Activo,PIEZA DE TOALLA INTERDOBLADA SANITAS
3,MATERIA PRIMA,14111704,Activo,PIEZAS DE PAPEL HIGIENICO DE 200 MTS
3,MATERIA PRIMA,PI-JC-PV-01,Activo,PINTURA VEGETAL MORADA 10 ML
3,MATERIA PRIMA,PL-AP-ES-01,Activo,PLACA ESTIRENO BLANCO C-80 1.20 X 1.52
3,MATERIA PRIMA,FOT-PL-MN-01-PZ,Activo,PLACA MAGNESIO 4M/M 13X6
3,MATERIA PRIMA,MP3-03-OC3,Activo,PLASTILUK CRISTAL C 3
3,MATERIA PRIMA,SIN-PL-CH-01-PZ,Activo,Plastilux Charol C 8 1.41 Plateado
3,MATERIA PRIMA,SIN-PL-CH-03,Activo,PLASTILUX CHAROL PLATEADO C 10 1.41
3,MATERIA PRIMA,MP4-7018-S,Activo,PLASTILUX CHAROL VIOLETA TRANSPARENTE C8
3,MATERIA PRIMA,MP1-0000012-S,Activo,PLASTILUX COLORES C-8 AZUL
3,MATERIA PRIMA,MP1-0000010-S,Activo,PLASTILUX COLORES C-8 HUMO
